scenario_id,source_video,scenario_file,odd_main_category,odd_events,num_odd_events,ego_avg_speed,ego_max_speed,ttc_min,ttc_mean,dto_min_vehicle,dto_min_pedestrian,collision_occurred,num_collision_agents,num_pedestrians,collision_time,collision_type,traffic_density,traffic_density_value,avg_num_vehicles,probability_of_collision,risk_ttc,risk_dto,illumination,visibility,precipitation_visible
scenario_000__on_road_following__v1,video_36.mp4,/scenarios/scenario_000.json,intersection,['none'],0,67.54,98.16,8.39,10.01,4.03,6.16,False,0,1,,none,high,8.79,8.79,0.282,0.119,0.248,day,good,True
scenario_001__on_road_following__v3,video_70.mp4,/scenarios/scenario_001.json,on_road_following,['none'],0,66.93,71.95,11.93,15.4,9.95,5.14,False,0,0,,none,medium,6.77,6.77,0.1636,0.084,0.1,dusk_dawn,moderate,True
scenario_002__on_road_following__v1,video_12.mp4,/scenarios/scenario_002.json,intersection,['none'],0,38.32,59.28,10.07,11.87,8.69,16.85,False,0,0,,none,medium,7.68,7.68,0.1741,0.099,0.115,day,poor,False
scenario_003__on_road_following__v3,video_26.mp4,/scenarios/scenario_003.json,lane_change,"['cut_in:right', 'cut_in:left', 'pedestrian_near_ego_lane']",3,67.11,91.83,1.27,2.33,0.5,1.46,True,2,2,0:01:21,rear_end,medium,5.3,5.3,0.7898000000000001,0.787,1.0,night,poor,False
scenario_004__roundabout__v1,video_21.mp4,/scenarios/scenario_004.json,lane_change,['none'],0,47.34,58.81,11.73,15.83,14.21,22.9,False,0,0,,none,high,11.14,11.14,0.215,0.085,0.07,night,moderate,False
scenario_005__intersection__v1,video_44.mp4,/scenarios/scenario_005.json,on_road_following,['none'],0,68.06,102.62,9.73,12.88,9.63,24.31,False,0,1,,none,medium,4.26,4.26,0.1724,0.103,0.104,day,moderate,True
scenario_006__on_road_following__v2,video_45.mp4,/scenarios/scenario_006.json,roundabout,['none'],0,58.61,70.57,3.05,7.31,11.19,19.58,False,0,1,,none,medium,4.94,4.94,0.2579,0.328,0.089,day,poor,False
scenario_007__lane_change__v3,video_16.mp4,/scenarios/scenario_007.json,lane_change,['none'],0,42.47,50.81,6.34,10.01,10.66,16.83,False,0,0,,none,medium,7.17,7.17,0.1914,0.158,0.094,day,poor,True
scenario_008__roundabout__v3,video_80.mp4,/scenarios/scenario_008.json,roundabout,['none'],0,58.04,82.68,9.94,12.91,8.8,13.55,False,0,0,,none,low,2.19,2.19,0.1146,0.101,0.114,dusk_dawn,good,False
scenario_009__on_road_following__v1,video_30.mp4,/scenarios/scenario_009.json,roundabout,['none'],0,48.16,77.51,4.25,7.67,9.02,9.06,False,0,1,,none,high,8.64,8.64,0.2873,0.235,0.111,day,good,False
scenario_010__on_road_following__v2,video_36.mp4,/scenarios/scenario_010.json,lane_change,['none'],0,51.67,87.17,10.23,11.98,13.6,15.79,False,0,2,,none,low,2.21,2.21,0.1014,0.098,0.074,dusk_dawn,moderate,False
scenario_011__intersection__v2,video_46.mp4,/scenarios/scenario_011.json,intersection,"['crossing_vehicle', 'stop']",2,37.63,53.3,0.83,3.97,0.83,10.39,True,2,0,0:01:04,pedestrian,low,2.85,2.85,0.79,1.0,1.0,night,poor,False
scenario_012__on_road_following__v3,video_22.mp4,/scenarios/scenario_012.json,intersection,['none'],0,68.59,107.27,5.27,8.26,5.91,10.7,False,0,0,,none,medium,7.71,7.71,0.2267,0.19,0.169,day,moderate,False
scenario_013__lane_change__v2,video_72.mp4,/scenarios/scenario_013.json,intersection,['interaction_present'],1,37.25,64.46,1.86,4.99,0.78,16.85,True,1,0,0:01:28,pedestrian,medium,5.07,5.07,0.6398,0.537,1.0,night,good,False
