sampling_method,profile,aux_var,partitioning,budget,run_id,theta_hat,theta_true,failures_obs,execution_time
SRS,P0,PC,none,50,1,0.14,0.1116504854368931,7,0.0015512499958276
SRS,P0,PC,none,50,2,0.1,0.1116504854368931,5,0.0004505002871155
SRS,P0,PC,none,50,3,0.1,0.1116504854368931,5,0.0002960003912448
SRS,P0,PC,none,50,4,0.06,0.1116504854368931,3,0.0002274578437209
SRS,P0,PC,none,50,5,0.2,0.1116504854368931,10,0.0001817499287426
SRS,P0,PC,none,50,6,0.14,0.1116504854368931,7,0.0001730839721858
SRS,P0,PC,none,50,7,0.14,0.1116504854368931,7,0.000169416423887
SRS,P0,PC,none,50,8,0.18,0.1116504854368931,9,0.0001690001226961
SRS,P0,PC,none,50,9,0.16,0.1116504854368931,8,0.0001614582724869
SRS,P0,PC,none,50,10,0.1,0.1116504854368931,5,0.0001650829799473
SRS,P0,PC,none,50,11,0.16,0.1116504854368931,8,0.0001658326946198
SRS,P0,PC,none,50,12,0.12,0.1116504854368931,6,0.0001596249639987
SRS,P0,PC,none,50,13,0.1,0.1116504854368931,5,0.0001597083173692
SRS,P0,PC,none,50,14,0.14,0.1116504854368931,7,0.0001602503471076
SRS,P0,PC,none,50,15,0.06,0.1116504854368931,3,0.0001574582420289
SRS,P0,PC,none,50,16,0.1,0.1116504854368931,5,0.000158208888024
SRS,P0,PC,none,50,17,0.1,0.1116504854368931,5,0.0001607076264917
SRS,P0,PC,none,50,18,0.06,0.1116504854368931,3,0.0001596668735146
SRS,P0,PC,none,50,19,0.14,0.1116504854368931,7,0.0001538749784231
SRS,P0,PC,none,50,20,0.16,0.1116504854368931,8,0.0001595830544829
SRS,P0,PC,none,50,21,0.14,0.1116504854368931,7,0.0001551248133182
SRS,P0,PC,none,50,22,0.14,0.1116504854368931,7,0.0001550414599478
SRS,P0,PC,none,50,23,0.16,0.1116504854368931,8,0.0001582498662173
SRS,P0,PC,none,50,24,0.12,0.1116504854368931,6,0.0001573339104652
SRS,P0,PC,none,50,25,0.16,0.1116504854368931,8,0.0001520831137895
SRS,P0,PC,none,50,26,0.1,0.1116504854368931,5,0.0001515420153737
SRS,P0,PC,none,50,27,0.12,0.1116504854368931,6,0.0001531252637505
SRS,P0,PC,none,50,28,0.16,0.1116504854368931,8,0.0001499583013355
SRS,P0,PC,none,50,29,0.16,0.1116504854368931,8,0.0001495420001447
SRS,P0,PC,none,50,30,0.14,0.1116504854368931,7,0.0001530419103801
SRS,P0,PC,none,100,1,0.15,0.1116504854368931,15,0.0001631248742341
SRS,P0,PC,none,100,2,0.12,0.1116504854368931,12,0.000159041956067
SRS,P0,PC,none,100,3,0.12,0.1116504854368931,12,0.0001560836099088
SRS,P0,PC,none,100,4,0.06,0.1116504854368931,6,0.0001557497307658
SRS,P0,PC,none,100,5,0.12,0.1116504854368931,12,0.0001601669937372
SRS,P0,PC,none,100,6,0.13,0.1116504854368931,13,0.0001585409045219
SRS,P0,PC,none,100,7,0.11,0.1116504854368931,11,0.0001560421660542
SRS,P0,PC,none,100,8,0.08,0.1116504854368931,8,0.0001541669480502
SRS,P0,PC,none,100,9,0.1,0.1116504854368931,10,0.000165042001754
SRS,P0,PC,none,100,10,0.1,0.1116504854368931,10,0.0001592091284692
SRS,P0,PC,none,100,11,0.11,0.1116504854368931,11,0.0001561250537633
SRS,P0,PC,none,100,12,0.08,0.1116504854368931,8,0.0001601669937372
