method,profile,aux_var,partitioning,budget,run,theta_hat,theta_true,failures_obs,execution_time
SRS,P0,None,none,50,1,0.14,0.11165048543689318,7,0.0011830329895019531
SRS,P0,None,none,50,2,0.06,0.11165048543689318,3,0.000865936279296875
SRS,P0,None,none,50,3,0.14,0.11165048543689318,7,0.0006990432739257812
SRS,P0,None,none,50,4,0.24,0.11165048543689318,12,0.001074075698852539
SRS,P0,None,none,50,5,0.1,0.11165048543689318,5,0.0006432533264160156
SRS,P0,None,none,50,6,0.08,0.11165048543689318,4,0.0006706714630126953
SRS,P0,None,none,50,7,0.12,0.11165048543689318,6,0.0006241798400878906
SRS,P0,None,none,50,8,0.1,0.11165048543689318,5,0.0005977153778076172
SRS,P0,None,none,50,9,0.08,0.11165048543689318,4,0.0009534358978271484
SRS,P0,None,none,50,10,0.06,0.11165048543689318,3,0.0010061264038085938
SRS,P0,None,none,50,11,0.06,0.11165048543689318,3,0.0007698535919189453
SRS,P0,None,none,50,12,0.1,0.11165048543689318,5,0.0010287761688232422
SRS,P0,None,none,50,13,0.08,0.11165048543689318,4,0.0009286403656005859
SRS,P0,None,none,50,14,0.08,0.11165048543689318,4,0.0008678436279296875
SRS,P0,None,none,50,15,0.08,0.11165048543689318,4,0.0010514259338378906
SRS,P0,None,none,50,16,0.06,0.11165048543689318,3,0.0012536048889160156
SRS,P0,None,none,50,17,0.06,0.11165048543689318,3,0.0011036396026611328
SRS,P0,None,none,50,18,0.1,0.11165048543689318,5,0.0009579658508300781
SRS,P0,None,none,50,19,0.18,0.11165048543689318,9,0.001085519790649414
SRS,P0,None,none,50,20,0.04,0.11165048543689318,2,0.0009272098541259766
SRS,P0,None,none,50,21,0.16,0.11165048543689318,8,0.0009543895721435547
SRS,P0,None,none,50,22,0.06,0.11165048543689318,3,0.0009377002716064453
SRS,P0,None,none,50,23,0.06,0.11165048543689318,3,0.0011608600616455078
SRS,P0,None,none,50,24,0.06,0.11165048543689318,3,0.0014145374298095703
SRS,P0,None,none,50,25,0.08,0.11165048543689318,4,0.0007774829864501953
SRS,P0,None,none,50,26,0.14,0.11165048543689318,7,0.0006837844848632812
SRS,P0,None,none,50,27,0.06,0.11165048543689318,3,0.0006918907165527344
SRS,P0,None,none,50,28,0.12,0.11165048543689318,6,0.0008668899536132812
